Name                           	 Owner Family	Offset  Title                                DataType   MsgType        Format
LG_CLTE_IN_TAPS                   0x7 	0x5		0x0     "CLTE_InTaps = "                    COMP16Q15  Buffer_E       ""
LG_CLTE_IN_NOISE_VAR              0x7	0x5		0x1     "LG_CLTE_IN_NOISE_VAR = "           FlpNumQ15  Title+Data     ""
LG_CLTE_IN_RESET_FLAG             0x7 	0x5		0x2     "CLTE_In_ResetFlag = "              Q0         Title+Data     ""
LG_CLTE_IN_FORCE_RESULT_FLAG      0x7 	0x5		0x3     "CLTE_ForceResult = "               Q0         Title+Data     ""
LG_CLTE_IN_UPDATE_HIST_FLAG       0x7 	0x5		0x4     "LG_CLTE_IN_UPDATE_HIST_FLAG = "    Q0         Title+Data     ""
LG_CLTE_1                         0x7 	0x5		0x5     ""                                  DEC32      Formatted      "NoiseEn = %d, ModNoiseEnSum = %d"
LG_CLTE_2                         0x7 	0x5		0x6     ""                                  DEC16      Formatted      "CurHistLen = %d, NoiseAboveMedian = %d, NoiseBelowMedian = %d, NoiseAtMedian = %d"
LG_CLTE_3                         0x7 	0x5		0x7     ""                                  DEC16      Formatted      "LastTapNoiseRat= %d, F_TapNoiseRat= %d, S_TapNoiseRat= %d, Cir= %d"
LG_CLTE_4                         0x7 	0x5		0x8     ""          			    DEC32      Formatted      "MedianNoisePerTapLevel = %d, InitialNoisePerChanTapEnergy = %d"
LG_CLTE_5                         0x7 	0x5		0x9     ""           	                    DEC32      Formatted      "EstAvgGoodMeasCir = %d"
LG_CLTE_6                         0x7 	0x5		0xA     ""                                  DEC16      Formatted      "ReqTimeCorrSymb= %d, QualOfMeas= %d, NumOfGoodMeas= %d, OptChLen= %d, OptChStartOff= %d"
LG_CLTE_7                         0x7 	0x5		0xB     ""                                  FlpNum     Formatted      "EffNoisePerRxSampleEnergy = %d"
LG_CLTE_NOISE_PER_TAPS_HIST       0x7 	0x5		0xC     "NoisePerTapsHist = "               DEC32      Buffer         ""
LG_CLTE_TAP_ENERGY_HIST           0x7 	0x5		0xD     "TapsEnergyHist = "                 DEC32      Buffer         ""
LG_CLTE_EST_AVG_TAP_ENERGY        0x7 	0x5		0xE     "AvgTapsEnergy = "                  DEC32      Buffer         ""
LG_CLTE_CUR_TAP_ENERGY            0x7	0x5		0xF     "CLTE_CurChTapEnergy = "            DEC32      Buffer         ""

// Match Filter:
LG_MF_IN_TAPS                     0x7 	0x6		0x0     "MF In Taps = "                     COMP16Q15  Buffer_E       ""
